ID,Pref,class1,class2,class3,総    数,0～4歳,5～9,10～14,15～19,20～24,25～29,30～34,35～39,40～44,45～49,50～54,55～59,60～64,65～69,70～74,75～79,80～84,85歳以上
1,Hokkaido,18338,10173,340,5286,175,195,207,229,235,232,266,304,367,381,344,341,354,452,368,310,252,274
2,Aomori-ken,4421,2519,84,1263,41,45,51,58,48,48,59,69,82,86,83,88,94,112,89,75,67,69
3,Iwate-ken,4337,2472,83,1241,41,47,52,57,47,50,59,69,81,82,78,84,91,106,82,74,67,75
4,Miyagi-ken,7827,4018,135,2316,85,93,98,109,123,119,130,144,164,163,144,146,155,182,139,116,98,108
5,Akita-ken,3525,2159,72,981,28,33,37,40,30,33,42,51,61,62,59,69,78,93,72,63,61,69
6,Yamagata-ken,3817,2195,73,1090,38,42,47,51,40,43,53,61,70,69,66,73,80,95,71,62,58,73
7,Fukushima-ken,6435,3548,119,1864,67,70,79,89,73,80,94,105,122,124,117,129,139,160,119,102,89,106
8,Ibaraki-ken,9795,5174,174,2877,106,117,127,140,132,130,152,172,204,216,185,176,190,233,196,162,116,125
9,Tochigi-ken,6573,3404,114,1946,73,80,87,92,83,90,107,122,142,146,125,121,131,157,127,101,76,84
10,Gumma-ken,6664,3561,119,1952,70,79,87,97,90,88,99,113,139,148,127,117,124,153,135,110,82,94
11,Saitama-ken,24525,12171,411,7330,279,299,312,343,405,381,407,458,552,608,508,428,415,524,488,411,275,235
12,Chiba-ken,21106,10769,363,6255,233,251,264,289,323,310,344,387,465,513,428,367,361,460,430,358,248,225
13,Tokyo-to,45392,20445,696,13822,539,516,495,554,867,911,961,1013,1109,1167,1005,810,687,797,750,647,500,494
14,Kanagawa-ken,30463,14615,495,9177,351,374,385,423,518,490,529,592,706,788,679,551,486,599,558,479,343,326
15,Niigata-ken,7803,4394,147,2246,78,88,94,103,92,94,111,127,152,154,141,141,155,190,151,129,111,135
16,Toyama-ken,3650,2061,69,1050,37,40,45,50,44,44,50,58,75,79,65,62,65,84,80,63,49,60
17,Ishikawa-ken,3895,2075,70,1143,44,48,51,57,57,53,58,65,82,86,71,68,70,86,80,63,47,58
18,Fukui-ken,2656,1454,49,774,30,33,36,39,33,34,39,43,52,54,48,49,50,62,50,43,36,44
19,Yamanashi-ken,2811,1532,51,817,29,32,36,41,38,35,39,44,53,60,56,53,54,64,54,47,37,46
20,Nagano-ken,7132,3999,134,2063,76,85,94,101,79,83,98,114,143,150,133,127,130,159,142,122,98,129
21,Gifu-ken,6827,3694,124,1997,75,86,92,101,92,86,98,112,139,148,128,122,123,155,139,116,90,96
22,Shizuoka-ken,12488,6706,225,3659,137,155,164,175,150,162,193,214,256,276,241,225,230,284,251,212,161,173
23,Aichi-ken,24874,11933,404,7537,319,339,344,374,420,414,451,484,567,610,507,434,397,492,461,387,276,259
24,Mie-ken,6114,3276,110,1791,67,75,80,87,82,81,92,102,125,135,118,111,109,135,122,103,80,88
25,Shiga-ken,4682,2307,78,1412,61,67,69,74,74,71,79,88,105,108,89,83,81,100,85,69,52,58
26,Kyoto-fu,8831,4654,156,2591,94,102,107,122,159,136,137,149,183,197,167,148,142,189,180,150,112,118
27,Osaka-fu,29719,15153,510,8813,334,352,370,418,486,461,489,529,645,727,608,507,465,614,592,519,367,329
28,Hyogo-ken,18629,9824,330,5484,212,230,242,267,267,247,279,317,392,430,367,334,324,410,377,313,234,244
29,Nara-ken,4620,2552,85,1339,48,54,59,67,66,58,63,71,89,100,88,81,82,107,99,85,60,63
30,Wakayama-ken ,3262,1872,62,935,33,37,39,45,36,37,44,48,61,67,60,60,61,77,69,59,47,54
31,Tottori-ken,1938,1089,36,560,22,24,25,27,22,23,28,32,37,37,33,35,39,46,38,30,27,36
32,Shimane-ken,2386,1408,47,680,26,28,29,32,25,27,32,37,43,43,38,42,46,58,48,39,37,49
33,Okayama-ken,6494,3535,118,1898,75,81,84,93,97,90,99,107,130,136,112,108,114,142,133,106,86,104
34,Hiroshima-ken,9564,5079,171,2817,113,125,126,135,136,133,150,165,201,212,175,163,167,211,194,155,119,137
35,Yamaguchi-ken,4821,2834,94,1370,49,55,58,63,57,55,64,72,89,94,80,80,90,119,104,88,71,83
36,Tokushima-ken,2578,1484,50,736,26,28,29,33,29,30,36,41,48,50,45,46,52,64,53,43,37,46
37,Kagawa-ken,3334,1870,63,962,37,40,42,46,40,40,48,54,68,69,58,57,61,79,70,54,45,56
38,Ehime-ken,4703,2689,90,1352,49,55,58,63,52,54,65,74,91,93,83,84,90,115,98,79,66,81
39,Kochi-ken,2502,1493,50,706,24,26,29,32,26,26,32,37,47,48,41,44,48,61,55,44,37,49
40,Fukuoka-ken,17176,8832,297,5107,218,229,226,241,275,251,285,321,363,365,311,300,315,394,320,262,205,228
41,Saga-ken,2787,1515,51,819,34,38,39,42,35,35,42,47,53,52,48,52,57,67,51,43,37,46
42,Nagasaki-ken,4649,2636,88,1341,53,57,60,63,51,54,64,72,83,87,82,89,98,117,90,77,66,79
43,Kumamoto-ken,6015,3322,111,1757,74,80,81,83,75,77,91,100,112,109,104,111,122,142,111,94,85,105
44,Oita-ken,3976,2274,76,1144,44,48,49,54,47,46,56,64,75,75,66,70,78,97,81,67,57,69
45,Miyazaki-ken,3725,2106,70,1081,45,50,50,51,41,42,52,61,70,67,62,69,78,92,72,60,54,64
46,Kagoshima-ken,5562,3120,104,1614,68,74,74,74,62,65,80,91,100,97,96,106,123,135,101,88,80,102
47,Okinawa-ken,4616,2054,70,1448,82,84,81,81,72,76,88,93,104,102,89,90,93,97,60,56,48,52
